Year,Totals,Success,Deaths
1970,651,549,171
1971,470,419,173
1972,494,449,566
1973,473,433,370
1974,580,544,542
1975,740,705,617
1976,923,861,672
1977,1319,1191,456
1978,1526,1411,1459
1979,2661,2407,2100
1980,2663,2388,4428
1981,2585,2354,4851
1982,2545,2373,5135
1983,2870,2660,9443
1984,3494,3281,10449
1985,2915,2727,7094
1986,2860,2671,5003
1987,3184,2933,6478
1988,3721,3439,7192
1989,4322,4006,8121
1990,3887,3583,7148
1991,4683,4299,8429
1992,5073,4562,9745
1993,4078,3562,7908
1994,3458,3071,7691
1995,3081,2794,6094
1996,3056,2768,6952.999998
1997,3200,2969,10948
1998,933,858,4678
1999,1396,1237,3388
2000,1813,1635,4422
2001,1908,1686,7738
2002,1332,1210,4799
2003,1262,1136,3271
2004,1161,1074,5713
2005,2011,1904,6311
2006,2751,2654,9363
2007,3241,3122,12836
2008,4787,4383,9093
2009,4721,4431,9271
2010,4821,4381,7720
2011,5067,4598,8198
2012,8498,7559,15432
2013,11990,10422,22226
2014,16840,14956,43550
2015,14806,12568,38422